IHID,ProgramID,ProgramName,GovernmentName,GovernmentType,CensusID,Census Type,AddressStreet,City,County,State,name,Government Address: Zip,Program Applicable Areas,Year Program Adopted,Year Program Updated,3rd Party Managing Entity,Data Entry Year,Unit- vs. Fee-based Program?,Program Type and Development Type,Program Type,Development Type,(Ownership) Resale Restriction Exists?,(Ownership) Resale Formula Exists?,(Rental) Rent restriction Exists?,(Rental) Rent restriction Exists?,(Rental) Compliance Monitoring Exists?,(Rental) Timing of Income Certification,(Rental) Noncompliance Remedies/Enforcement,"""Right of 1st Refusal"" Exists?",Incentive,Affordable Housing Compliance Option,Minimum Project Size,Minimum Set-aside,Any Set-aside Requirement At 20% Or More?,Highest Income Served,Lowest Income Served,(Rental) Income Requirement Type,(Rental) Single Income Requirement Detail,(Rental) Multiple Tiers of Income Targeting Detail,(Ownership) Income Requirement Type,(Ownership) Single Income Requirement Detail,(Ownership) Multiple Tiers of Income Targeting Detail,(Rental) Term of Affordability,(Rental) Affordability Term Restart?,(Ownership) Term of Affordability,(Ownership) Affordability Term Restart?,TotalAffordableRentalUnits,TotalAffordableOwnershipUnits,TotalAffordableUnits,In-Lieu Fees,Program Type,Commercial Development Type,Office Development Fee Rate,Industrial Development Fee Rate,Retail/Service Development Fee Rate,Hotel Development Fee Rate,R&D Fee Rate,Commercial Development Exemptions,Residential Development Type,Rental Fee Rate,Single Family For-Sale Fee Rate,Multifamily For-Sale Fee Rate,Townhouse For-Sale Fee Rate,Alternative Compliance Option,Fee Amount - Residential Development,Fees Amount - Commercial Development,Total Affordable Units
675,"Englewood Cliffs Borough, NJ: Residential Development Fee",Residential Development Fee,Englewood Cliffs Borough,Town or city,0600000US3400321510,County Subdivision,482 Hudson Terrace,Englewood Cliffs,Bergen,NJ,New Jersey,7632,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,,,,
676,"Ewing Township, NJ: Residential Development Fee",Residential Development Fee,Ewing Township,Town or city,0600000US3402122185,County Subdivision,2 Jake Garzio Drive,Ewing,Mercer,NJ,New Jersey,8628,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
677,"Fairview Borough, NJ: Residential Development Fee",Residential Development Fee,Fairview Borough,Town or city,0600000US3400322560,County Subdivision,53 Grant Street,Fairview,Bergen,NJ,New Jersey,7022,"Certain zones, neighborhoods, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
679,"Fanwood Borough, NJ: Residential Development Fee",Residential Development Fee,Fanwood Borough,Town or city,0600000US3403922860,County Subdivision,75 Martine Avenue,Fanwood,Union,NJ,New Jersey,7023,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
680,"Flemington Borough, NJ: Residential Development Fee",Residential Development Fee,Flemington Borough,Town or city,0600000US3401923700,County Subdivision,38 Park Avenue,Flemington,Hunterdon,NJ,New Jersey,8822,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value of the land and improvements,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
682,"Florence Township, NJ: Residential Development Fee",Residential Development Fee,Florence Township,Town or city,0600000US3400523850,County Subdivision,711 Broad Street,Florence,Burlington,NJ,New Jersey,8518,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
684,"Florham Park Borough, NJ: Residential Development Fee",Residential Development Fee,Florham Park Borough,Town or city,0600000US3402723910,County Subdivision,111 Ridgedale Avenue,Florham Park,Morris,NJ,New Jersey,7932,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.01 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
685,"Fort Lee Borough, NJ: Residential Development Fee",Residential Development Fee,Fort Lee Borough,Town or city,0600000US3400324420,County Subdivision,309 Main Street,Fort Lee,Bergen,NJ,New Jersey,7024,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
687,"Frankford Township, NJ: Residential Development Fee",Residential Development Fee,Frankford Township,Town or city,0600000US3403724810,County Subdivision,151 Route 206,Frankford Township,Sussex,NJ,New Jersey,7822,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
688,"Franklin Lakes Borough, NJ: Residential Development Fee",Residential Development Fee,Franklin Lakes Borough,Town or city,0600000US3400324990,County Subdivision,480 DeKorte Drive,Franklin Lakes,Bergen,NJ,New Jersey,7417,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
689,"Franklin Township, NJ: Residential Development Fee",Residential Development Fee,Franklin Township,Town or city,0600000US3401524840,County Subdivision,475 DeMott Lane,Somerset,Somerset,NJ,New Jersey,8873,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
690,"Frenchtown Borough, NJ: Residential Development Fee",Residential Development Fee,Frenchtown Borough,Town or city,0600000US3401925350,County Subdivision,29 Second Street,Frenchtown,Hunterdon,NJ,New Jersey,8825,,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Improvements or additions to existing one and two-family dwellings on individual lots shall not be required to pay a development fee or homes that need to be replaced because of natural disaster,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value of the land and improvements,$0.015 equalized assessed value of the land and improvements,$0.015 equalized assessed value of the land and improvements,,,,
691,"Frelinghuysen Township, NJ: Residential Development Fee",Residential Development Fee,Frelinghuysen Township,Town or city,0600000US3404125320,County Subdivision,210 Main Street,Johnsonburg,Warren,NJ,New Jersey,7825,,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,,,,,,,,,,
692,"Galloway Township, NJ: Residential Development Fee",Residential Development Fee,Galloway Township,Town or city,0600000US3400125560,County Subdivision,300 East Jimmie Leeds Road,Galloway,Atlantic,NJ,New Jersey,8205,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
693,"Glassboro Borough, NJ: Residential Development Fee",Residential Development Fee,Glassboro Borough,Town or city,0600000US3401526340,County Subdivision,1 South Main Street,Glassboro,Gloucester,NJ,New Jersey,8028,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
694,"Glen Gardner Borough, NJ: Residential Development Fee",Residential Development Fee,Glen Gardner Borough,Town or city,0600000US3401926550,County Subdivision,83 Main Street,Glen Gardner,Hunterdon,NJ,New Jersey,8826,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value of the land and improvements,$0.015 equalized assessed value of the land and improvements,$0.015 equalized assessed value of the land and improvements,$0.015 equalized assessed value of the land and improvements,,,,
696,"Glen Rock Borough, NJ: Residential Development Fee",Residential Development Fee,Glen Rock Borough,Town or city,0600000US3400326640,County Subdivision,1 Harding Plaza,Glen Rock,Bergen,NJ,New Jersey,7452,"Certain zones, neighborhoods, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,,,,
697,"Green Township, NJ: Residential Development Fee",Residential Development Fee,Green Township,Town or city,0600000US3403727420,County Subdivision,150 Kennedy Road,Tranquility,Sussex,NJ,New Jersey,7879,"Certain zones, neighborhoods, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
699,"Greenwich Township, NJ: non-Residential Development Fee",non-Residential Development Fee,Greenwich Township,Town or city,0600000US3401128170,County Subdivision,321 Greenwich Street,Stewartsville,Warren,NJ,New Jersey,8886,,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commercial development impact fee,,,,,,,,,,,,,,,,
702,"Haddonfield Borough, NJ: Residential Development Fee",Residential Development Fee,Haddonfield Borough,Town or city,0600000US3400728770,County Subdivision,242 Kings Highway E,Haddonfield,Camden,NJ,New Jersey,8033,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
703,"Hamilton Township, NJ: Residential Development Fee",Residential Development Fee,Hamilton Township,Town or city,0600000US3400129280,County Subdivision,2090 Greenwood Avenue,Hamilton,Mercer,NJ,New Jersey,8650,,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,,"Single family for-sale, multifamily for-sale, townhouse for-sale",,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
704,"Hampton Borough, NJ: Residential Development Fee",Residential Development Fee,Hampton Borough,Town or city,0600000US3401929460,County Subdivision,1 Wells Avenue,Hampton,Hunterdon,NJ,New Jersey,8827,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value of the land and improvements,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
705,"Hampton Township, NJ: non-Residential Development Fee",non-Residential Development Fee,Hampton Township,Town or city,0600000US3403729490,County Subdivision,1 Rumsey Way,Hampton Township,Sussex,NJ,New Jersey,7860,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commercial development impact fee,,,,,,,,,,,,,,,,
706,"Hampton Township, NJ: Residential Development Fee",Residential Development Fee,Hampton Township,Town or city,0600000US3403729490,County Subdivision,1 Rumsey Way,Hampton Township,Sussex,NJ,New Jersey,7860,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
707,"Hanover Township, NJ: Residential Development Fee",Residential Development Fee,Hanover Township,Town or city,0600000US3402729550,County Subdivision,1000 Route 10,Whippany,Morris,NJ,New Jersey,7981,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,,,,
708,"Harding Township, NJ: Residential Development Fee",Residential Development Fee,Harding Township,Town or city,0600000US3402729700,County Subdivision,21 Blue Mill Road,New Vernon,Morris,NJ,New Jersey,7976,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.01 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
709,"Hardwick Township, NJ: Residential Development Fee",Residential Development Fee,Hardwick Township,Town or city,0600000US3404129820,County Subdivision,40 Spring Valley Road,Hardwick,Warren,NJ,New Jersey,7825,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,,,,,,,
711,"Hardyston Township, NJ: Residential Development Fee",Residential Development Fee,Hardyston Township,Town or city,0600000US3403729850,County Subdivision,149 Wheatsworth Road,Hardyston,Sussex,NJ,New Jersey,7419,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
712,"Harmony Township, NJ: Residential Development Fee",Residential Development Fee,Harmony Township,Town or city,0600000US3404130090,County Subdivision,3003 Belvidere Road,Phillipsburg,Warren,NJ,New Jersey,8865,"Certain zones, neighborhoods, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,,,,,,,
713,"Harrington Park Borough, NJ: Residential Development Fee",Residential Development Fee,Harrington Park Borough,Town or city,0600000US3400330150,County Subdivision,85 Harriot Avenue,Harrington,Bergen,NJ,New Jersey,7640,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,No,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,,,,
714,"Harrison Town, NJ: Residential Development Fee",Residential Development Fee,Harrison Town,Town or city,0600000US3401730210,County Subdivision,318 Harrison Avenue,Harrison,Hudson,NJ,New Jersey,7029,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
715,"Harrison Township, NJ: Residential Development Fee",Residential Development Fee,Harrison Township,Town or city,0600000US3401530180,County Subdivision,114 Bridgeton Pike,Mullica Hill,Gloucester,NJ,New Jersey,8062,,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
716,"Hasbrouck Heights Borough, NJ: Residential Development Fee",Residential Development Fee,Hasbrouck Heights Borough,Town or city,0600000US3400330420,County Subdivision,320 Boulevard,Hasbrouck Heights,Bergen,NJ,New Jersey,7604,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
717,"Haworth Borough, NJ: Residential Development Fee",Residential Development Fee,Haworth Borough,Town or city,0600000US3400330540,County Subdivision,300 Haworth Avenue,Haworth,Bergen,NJ,New Jersey,7641,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
718,"Hawthorne Borough, NJ: Residential Development Fee",Residential Development Fee,Hawthorne Borough,Town or city,0600000US3403130570,County Subdivision,445 Lafayette Avenue,Hawthorne,Passaic,NJ,New Jersey,7506,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.01 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
719,"High Bridge Borough, NJ: Residential Development Fee",Residential Development Fee,High Bridge Borough,Town or city,0600000US3401931320,County Subdivision,97 West Main Street,High Bridge,Hunterdon,NJ,New Jersey,8829,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value of the land and improvements,$0.02 equalized assessed value for residential development,$0.02 equalized assessed value for residential development,$0.02 equalized assessed value for residential development,,,,
720,"Hillsdale Borough, NJ: Residential Development Fee",Residential Development Fee,Hillsdale Borough,Town or city,0600000US3400331920,County Subdivision,380 Hillsdale Avenue,Hillsdale,Bergen,NJ,New Jersey,7642,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
721,"Ho-Ho-Kus Borough, NJ: Residential Development Fee",Residential Development Fee,Ho-Ho-Kus Borough,Town or city,0600000US3400332310,County Subdivision,333 Warren Avenue,Ho-Ho-Kus,Bergen,NJ,New Jersey,7423,"Certain zones, neighborhoods, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
722,"Holmdel Township, NJ: Residential Development Fee",Residential Development Fee,Holmdel Township,Town or city,0600000US3402532640,County Subdivision,4 Crawfords Corner Road,Holmdel,Monmouth,NJ,New Jersey,7733,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.06 equalized assessed value for residential development,$0.06 equalized assessed value for residential development,$0.06 equalized assessed value for residential development,,,,
724,"Hope Township, NJ: Residential Development Fee",Residential Development Fee,Hope Township,Town or city,0600000US3404133060,County Subdivision,407 County Route 611,Hope,Warren,NJ,New Jersey,7844,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.01 equalized assessed value for residential development,,,,,,,
726,"Howell Township, NJ: Residential Development Fee",Residential Development Fee,Howell Township,Town or city,0600000US3402533300,County Subdivision,4567 Route 9 North,Howell,Monmouth,NJ,New Jersey,7731,"Certain zones, neighborhoods, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.0033 equalized assessed value for residential development,$0.0033 equalized assessed value for residential development,$0.0033 equalized assessed value for residential development,,,,
727,"Independence Township, NJ: Residential Development Fee",Residential Development Fee,Independence Township,Town or city,0600000US3404133930,County Subdivision,286B Route 46 West,Great Meadows,Warren,NJ,New Jersey,7838,"Certain zones, neighborhoods, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,,,,,,,
728,"Kearny Town, NJ: Residential Development Fee",Residential Development Fee,Kearny Town,Town or city,0600000US3401736510,County Subdivision,402 Kearny Avenue,Kearny,Hudson,NJ,New Jersey,7032,,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,,,,
730,"Kingwood Township, NJ: Residential Development Fee",Residential Development Fee,Kingwood Township,Town or city,0600000US3401937065,County Subdivision,599 Oak Grove Road,Frenchtown,Hunterdon,NJ,New Jersey,8825,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
731,"Knowlton Township, NJ: Residential Development Fee",Residential Development Fee,Knowlton Township,Town or city,0600000US3404137320,County Subdivision,628 Route 94,Columbia,Warren,NJ,New Jersey,7832,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,,,,,,,
